character,opponent,games,winRate
"kku","dravain","136","25.7"
"dravain","kku","136","74.3"
"dravain","yaura","120","72.5"
"yaura","dravain","120","27.5"
"yaura","kahro","134","29.9"
"kahro","yaura","134","70.1"
"dravain","maoja","153","69.9"
"maoja","dravain","153","30.1"
"poom","kku","106","68.9"
"kku","poom","106","31.1"
"poom","yaura","111","68.5"
"yaura","poom","111","31.5"
"smithen","yaura","115","67.8"
"yaura","smithen","115","32.2"
"dravain","paleya","119","67.2"
"paleya","poom","125","32.8"
"paleya","dravain","119","32.8"
"poom","paleya","125","67.2"
"eva","paleya","118","66.9"
"paleya","eva","118","33.1"
"bakub","yaura","111","66.7"
"shaman","yaura","120","66.7"
"yaura","shaman","120","33.3"
"yaura","bakub","111","33.3"
"poom","shaman","123","65.9"
"shaman","poom","123","34.1"
"paleya","shaman","126","34.9"
"shaman","paleya","126","65.1"
"hyafrost","poom","103","35"
"poom","hyafrost","103","65"
