type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 8.85, used 353, win 51.8%"
"ability-too-weak","Poom — Revenge Body","avg value 1.21, used 298, win 59.7%"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.04, used 889, win 48.9%"
"ability-too-weak","Bakub — Nightmare Vial","avg value 0.93, used 368, win 48.9%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 69, win 33.3%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.61, used 332, win 54.5%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.59, used 254, win 47.2%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.59, used 335, win 60.3%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 183, win 50.3%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1045, win 57.8%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 192, win 47.4%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 129, win 57.4%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 367, win 50.4%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 385, win 36.6%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 306, win 35.9%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 170, win 42.9%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 485, win 24.3%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 210, win 52.4%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 127, win 50.4%"
"ability-too-weak","Bakub — False Future","avg value 0, used 104, win 42.3%"
"matchup-dominant","dravain vs yaura","83.3% over 42 games"
"matchup-weak","yaura vs dravain","16.7% over 42 games"
"matchup-dominant","shaman vs yaura","79.4% over 34 games"
"matchup-weak","yaura vs shaman","20.6% over 34 games"
"matchup-dominant","poom vs paleya","73.7% over 38 games"
"matchup-weak","paleya vs poom","26.3% over 38 games"
"matchup-dominant","maoja vs bakub","70.2% over 47 games"
"matchup-dominant","poom vs bakub","70.2% over 47 games"
"matchup-weak","bakub vs poom","29.8% over 47 games"
"matchup-weak","bakub vs maoja","29.8% over 47 games"
"matchup-weak","hyafrost vs maoja","31% over 42 games"
"matchup-dominant","maoja vs hyafrost","69% over 42 games"
"matchup-weak","kku vs dravain","31.4% over 35 games"
"matchup-dominant","dravain vs kku","68.6% over 35 games"
"matchup-weak","yaura vs paleya","32.4% over 34 games"
"matchup-dominant","paleya vs yaura","67.6% over 34 games"
"matchup-dominant","kahro vs yaura","66% over 47 games"
"matchup-weak","yaura vs kahro","34% over 47 games"
"matchup-weak","kku vs maoja","35% over 40 games"
"matchup-dominant","maoja vs kku","65% over 40 games"
