type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 9.12, used 632, win 49.8%"
"dead-ability","Bahl — Dark Proliferation","only 12 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.01, used 1513, win 50.7%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.62, used 582, win 49.5%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.61, used 582, win 63.2%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.57, used 584, win 40.6%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 336, win 44%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 311, win 40.2%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 374, win 50.5%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1444, win 47%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 250, win 37.2%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 532, win 44.2%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 792, win 46.1%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 978, win 39.2%"
"ability-too-weak","Bakub — False Future","avg value 0, used 139, win 46.8%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 609, win 40.1%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 230, win 51.7%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 240, win 56.7%"
"matchup-weak","hyafrost vs shaman","33.3% over 54 games"
"matchup-weak","paleya vs shaman","33.3% over 63 games"
"matchup-dominant","shaman vs paleya","66.7% over 63 games"
"matchup-dominant","shaman vs hyafrost","66.7% over 54 games"
"matchup-weak","eva vs smithen","34.5% over 58 games"
"matchup-dominant","smithen vs eva","65.5% over 58 games"
