type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 8.97, used 691, win 56.6%"
"dead-ability","Bahl — Dark Proliferation","only 14 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1, used 1359, win 45.6%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 104, win 30.8%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.62, used 658, win 53.3%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.6, used 572, win 54.7%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.6, used 447, win 43.8%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 641, win 30.7%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 224, win 50%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1458, win 51.6%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 453, win 30.9%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 575, win 39.1%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 363, win 52.9%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 588, win 48%"
"ability-too-weak","Bakub — False Future","avg value 0, used 158, win 47.5%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 227, win 59%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 304, win 40.5%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 410, win 43.4%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 304, win 38.2%"
"matchup-dominant","dravain vs yaura","75% over 56 games"
"matchup-weak","yaura vs dravain","25% over 56 games"
"matchup-weak","yaura vs bakub","25.9% over 54 games"
"matchup-dominant","bakub vs yaura","74.1% over 54 games"
"matchup-weak","yaura vs poom","26.9% over 67 games"
"matchup-dominant","poom vs yaura","73.1% over 67 games"
"matchup-dominant","smithen vs yaura","71% over 69 games"
"matchup-weak","yaura vs smithen","29% over 69 games"
"matchup-weak","yaura vs kahro","29.2% over 65 games"
"matchup-dominant","kahro vs yaura","70.8% over 65 games"
"matchup-dominant","paleya vs yaura","70.4% over 54 games"
"matchup-weak","yaura vs paleya","29.6% over 54 games"
"matchup-weak","yaura vs hyafrost","30.4% over 69 games"
"matchup-dominant","hyafrost vs yaura","69.6% over 69 games"
"matchup-dominant","smithen vs kku","68.2% over 44 games"
"matchup-weak","kku vs smithen","31.8% over 44 games"
"matchup-weak","eva vs dravain","32.4% over 74 games"
"matchup-dominant","dravain vs eva","67.6% over 74 games"
"matchup-weak","paleya vs smithen","33.3% over 57 games"
"matchup-dominant","smithen vs paleya","66.7% over 57 games"
"matchup-weak","yaura vs shaman","33.9% over 56 games"
"matchup-dominant","shaman vs yaura","66.1% over 56 games"
