character,opponent,games,winRate
"yaura","maoja","29","20.7"
"maoja","yaura","29","79.3"
"bakub","poom","38","23.7"
"poom","bakub","38","76.3"
"yaura","poom","35","25.7"
"poom","yaura","35","74.3"
"dravain","shaman","34","26.5"
"shaman","dravain","34","73.5"
"hyafrost","kahro","38","28.9"
"kahro","hyafrost","38","71.1"
"kahro","yaura","30","70"
"poom","smithen","30","70"
"smithen","poom","30","30"
"yaura","kahro","30","30"
"poom","maoja","33","69.7"
"maoja","poom","33","30.3"
"hyafrost","shaman","42","31"
"shaman","hyafrost","42","69"
"shaman","bakub","38","68.4"
"bakub","shaman","38","31.6"
"paleya","bakub","34","32.4"
"bakub","paleya","34","67.6"
"shaman","paleya","46","67.4"
"paleya","shaman","46","32.6"
"hyafrost","poom","33","33.3"
"poom","hyafrost","33","66.7"
"dravain","yaura","38","65.8"
"yaura","dravain","38","34.2"
"maoja","paleya","35","65.7"
"paleya","maoja","35","34.3"
"yaura","shaman","43","34.9"
"shaman","yaura","43","65.1"
