type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 8.93, used 639, win 50.5%"
"ability-too-weak","Poom — Revenge Body","avg value 1.25, used 494, win 58.9%"
"dead-ability","Bahl — Dark Proliferation","only 12 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.01, used 1280, win 54.1%"
"ability-too-weak","Bakub — Nightmare Vial","avg value 0.97, used 539, win 42.7%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 138, win 23.9%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.61, used 676, win 45.6%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.61, used 592, win 56.3%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.58, used 469, win 42.4%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 633, win 47.1%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1288, win 55.3%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 447, win 26.8%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 653, win 25.9%"
"ability-too-weak","Bakub — False Future","avg value 0, used 226, win 37.6%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 334, win 45.2%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 593, win 32.4%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 460, win 54.8%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 191, win 47.1%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 317, win 39.4%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 263, win 44.1%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 248, win 42.7%"
"matchup-weak","yaura vs dravain","18.2% over 55 games"
"matchup-dominant","dravain vs yaura","81.8% over 55 games"
"matchup-dominant","maoja vs yaura","75.9% over 54 games"
"matchup-weak","yaura vs maoja","24.1% over 54 games"
"matchup-weak","yaura vs smithen","25.4% over 63 games"
"matchup-dominant","smithen vs yaura","74.6% over 63 games"
"matchup-dominant","shaman vs yaura","70.5% over 61 games"
"matchup-weak","yaura vs shaman","29.5% over 61 games"
"matchup-weak","paleya vs smithen","30.4% over 56 games"
"matchup-dominant","smithen vs paleya","69.6% over 56 games"
"matchup-dominant","kahro vs yaura","66.7% over 63 games"
"matchup-weak","yaura vs kahro","33.3% over 63 games"
