type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 8.77, used 318, win 41.2%"
"dead-ability","Bahl — Dark Proliferation","only 4 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.03, used 826, win 55.1%"
"ability-too-weak","Bakub — Nightmare Vial","avg value 0.97, used 369, win 43.1%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 75, win 21.3%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.61, used 366, win 42.6%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.6, used 361, win 44%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.6, used 359, win 52.9%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 189, win 41.3%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 240, win 51.7%"
"ability-too-weak","Bakub — False Future","avg value 0, used 132, win 48.5%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 943, win 46%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 217, win 30.4%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 335, win 32.2%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 285, win 46%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 110, win 57.3%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 342, win 40.4%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 174, win 48.3%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 185, win 48.6%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 157, win 50.3%"
"matchup-weak","yaura vs maoja","20.7% over 29 games"
"matchup-dominant","maoja vs yaura","79.3% over 29 games"
"matchup-weak","bakub vs poom","23.7% over 38 games"
"matchup-dominant","poom vs bakub","76.3% over 38 games"
"matchup-weak","yaura vs poom","25.7% over 35 games"
"matchup-dominant","poom vs yaura","74.3% over 35 games"
"matchup-weak","dravain vs shaman","26.5% over 34 games"
"matchup-dominant","shaman vs dravain","73.5% over 34 games"
"matchup-weak","hyafrost vs kahro","28.9% over 38 games"
"matchup-dominant","kahro vs hyafrost","71.1% over 38 games"
"matchup-dominant","kahro vs yaura","70% over 30 games"
"matchup-dominant","poom vs smithen","70% over 30 games"
"matchup-weak","smithen vs poom","30% over 30 games"
"matchup-weak","yaura vs kahro","30% over 30 games"
"matchup-dominant","poom vs maoja","69.7% over 33 games"
"matchup-weak","maoja vs poom","30.3% over 33 games"
"matchup-weak","hyafrost vs shaman","31% over 42 games"
"matchup-dominant","shaman vs hyafrost","69% over 42 games"
"matchup-dominant","shaman vs bakub","68.4% over 38 games"
"matchup-weak","bakub vs shaman","31.6% over 38 games"
"matchup-weak","paleya vs bakub","32.4% over 34 games"
"matchup-dominant","bakub vs paleya","67.6% over 34 games"
"matchup-dominant","shaman vs paleya","67.4% over 46 games"
"matchup-weak","paleya vs shaman","32.6% over 46 games"
"matchup-weak","hyafrost vs poom","33.3% over 33 games"
"matchup-dominant","poom vs hyafrost","66.7% over 33 games"
"matchup-dominant","dravain vs yaura","65.8% over 38 games"
"matchup-weak","yaura vs dravain","34.2% over 38 games"
"matchup-dominant","maoja vs paleya","65.7% over 35 games"
"matchup-weak","paleya vs maoja","34.3% over 35 games"
"matchup-weak","yaura vs shaman","34.9% over 43 games"
"matchup-dominant","shaman vs yaura","65.1% over 43 games"
