character,opponent,games,winRate
"poom","paleya","136","68.4"
"paleya","poom","136","31.6"
"kahro","yaura","126","67.5"
"yaura","kahro","126","32.5"
"poom","bakub","118","66.9"
"bakub","poom","118","33.1"
"shaman","poom","121","33.9"
"yaura","maoja","127","33.9"
"maoja","yaura","127","66.1"
"poom","shaman","121","66.1"
