character,opponent,games,winRate
"dravain","yaura","40","85"
"yaura","dravain","40","15"
"dravain","hyafrost","41","78"
"hyafrost","dravain","41","22"
"yaura","kahro","41","24.4"
"kahro","yaura","41","75.6"
"smithen","yaura","40","75"
"yaura","smithen","40","25"
"maoja","hyafrost","38","73.7"
"hyafrost","maoja","38","26.3"
"dravain","poom","29","72.4"
"poom","dravain","29","27.6"
"eva","poom","50","72"
"paleya","yaura","25","72"
"poom","eva","50","28"
"yaura","paleya","25","28"
"paleya","eva","23","30.4"
"eva","paleya","23","69.6"
"eva","yaura","32","68.8"
"yaura","eva","32","31.3"
"paleya","kahro","37","32.4"
"kahro","paleya","37","67.6"
"eva","kku","39","66.7"
"kku","eva","39","33.3"
"maoja","yaura","30","66.7"
"yaura","maoja","30","33.3"
"hyafrost","yaura","29","65.5"
"yaura","hyafrost","29","34.5"
"bakub","maoja","40","35"
"eva","hyafrost","40","65"
"hyafrost","eva","40","35"
"maoja","bakub","40","65"
