character,opponent,games,winRate
"dravain","yaura","42","83.3"
"yaura","dravain","42","16.7"
"shaman","yaura","34","79.4"
"yaura","shaman","34","20.6"
"poom","paleya","38","73.7"
"paleya","poom","38","26.3"
"maoja","bakub","47","70.2"
"poom","bakub","47","70.2"
"bakub","poom","47","29.8"
"bakub","maoja","47","29.8"
"hyafrost","maoja","42","31"
"maoja","hyafrost","42","69"
"kku","dravain","35","31.4"
"dravain","kku","35","68.6"
"yaura","paleya","34","32.4"
"paleya","yaura","34","67.6"
"kahro","yaura","47","66"
"yaura","kahro","47","34"
"kku","maoja","40","35"
"maoja","kku","40","65"
