character,opponent,games,winRate
"kku","smithen","50","22"
"smithen","kku","50","78"
"yaura","maoja","69","31.9"
"maoja","yaura","69","68.1"
"paleya","poom","67","32.8"
"poom","paleya","67","67.2"
"poom","smithen","60","33.3"
"smithen","poom","60","66.7"
