type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 9, used 416, win 58.2%"
"dead-ability","Bahl — Dark Proliferation","only 1 uses"
"ability-too-weak","Dravain — Vampiric Thrust","avg value 1.23, used 281, win 54.4%"
"ability-too-weak","Poom — Revenge Body","avg value 1.14, used 342, win 55.3%"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.05, used 604, win 60.3%"
"ability-too-weak","Bakub — Nightmare Vial","avg value 0.95, used 337, win 37.4%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 101, win 27.7%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.61, used 245, win 52.7%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.6, used 407, win 55.3%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.6, used 370, win 61.4%"
"ability-too-weak","Bakub — False Future","avg value 0, used 114, win 35.1%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 322, win 29.2%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 465, win 23.9%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 880, win 50%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 228, win 51.8%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 380, win 38.4%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 220, win 60.5%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 322, win 34.5%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 167, win 56.9%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 169, win 46.7%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 115, win 37.4%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 101, win 46.5%"
"matchup-dominant","shaman vs yaura","86.3% over 51 games"
"matchup-weak","yaura vs shaman","13.7% over 51 games"
"matchup-dominant","smithen vs yaura","80.9% over 47 games"
"matchup-weak","yaura vs smithen","19.1% over 47 games"
"matchup-dominant","kahro vs yaura","80% over 40 games"
"matchup-weak","yaura vs kahro","20% over 40 games"
"matchup-dominant","dravain vs yaura","73.5% over 34 games"
"matchup-dominant","kahro vs kku","73.5% over 34 games"
"matchup-weak","kku vs kahro","26.5% over 34 games"
"matchup-weak","yaura vs dravain","26.5% over 34 games"
"matchup-dominant","maoja vs kku","73.2% over 41 games"
"matchup-weak","kku vs maoja","26.8% over 41 games"
"matchup-dominant","poom vs yaura","72% over 50 games"
"matchup-weak","yaura vs poom","28% over 50 games"
"matchup-dominant","kahro vs bakub","71.9% over 32 games"
"matchup-weak","bakub vs kahro","28.1% over 32 games"
"matchup-dominant","shaman vs dravain","71.4% over 28 games"
"matchup-weak","dravain vs shaman","28.6% over 28 games"
"matchup-weak","kku vs shaman","29.4% over 34 games"
"matchup-dominant","shaman vs kku","70.6% over 34 games"
"matchup-dominant","shaman vs kahro","69.7% over 33 games"
"matchup-weak","kahro vs shaman","30.3% over 33 games"
"matchup-dominant","eva vs yaura","69.4% over 36 games"
"matchup-weak","yaura vs eva","30.6% over 36 games"
"matchup-dominant","maoja vs yaura","68.9% over 45 games"
"matchup-weak","yaura vs maoja","31.1% over 45 games"
"matchup-weak","paleya vs smithen","31.4% over 35 games"
"matchup-dominant","smithen vs paleya","68.6% over 35 games"
"matchup-dominant","hyafrost vs yaura","68.2% over 44 games"
"matchup-weak","yaura vs hyafrost","31.8% over 44 games"
"matchup-weak","hyafrost vs kahro","32.4% over 37 games"
"matchup-dominant","kahro vs hyafrost","67.6% over 37 games"
"matchup-weak","bakub vs shaman","33.3% over 45 games"
"matchup-weak","poom vs smithen","33.3% over 33 games"
"matchup-dominant","shaman vs bakub","66.7% over 45 games"
"matchup-dominant","smithen vs poom","66.7% over 33 games"
"matchup-dominant","shaman vs eva","65.9% over 41 games"
"matchup-dominant","smithen vs maoja","65.9% over 41 games"
"matchup-weak","eva vs shaman","34.1% over 41 games"
"matchup-weak","maoja vs smithen","34.1% over 41 games"
"matchup-dominant","eva vs paleya","65.5% over 29 games"
"matchup-weak","paleya vs eva","34.5% over 29 games"
